k	B	B-SM.17	kw
w	I	I-SM.17	kw
e	B	B-LEX	enzek
n	I	I-LEX	enzek
z	I	I-LEX	enzek
e	I	I-LEX	enzek
k	I	I-LEX	enzek
e	B	B-REC.CJ	e
*	O	O	O
i	B	B-AUG	i
n	B	B-9.LEX	ngozi
g	I	I-9.LEX	ngozi
o	I	I-9.LEX	ngozi
z	I	I-9.LEX	ngozi
i	I	I-9.LEX	ngozi
*	O	O	O
k	B	B-LOC	ku
u	I	I-LOC	ku
m	B	B-NCP.3	m
g	B	B-LEX	gaqw
a	I	I-LEX	gaqw
q	I	I-LEX	gaqw
w	I	I-LEX	gaqw
a	B	B-DIM	ana
n	I	I-DIM	ana
a	I	I-DIM	ana
*	O	O	O
n	B	B-LEX	nje
j	I	I-LEX	nje
e	I	I-LEX	nje
*	O	O	O
o	B	B-AC.3	om
m	I	I-AC.3	om
n	B	B-LEX	ncinane
c	I	I-LEX	ncinane
i	I	I-LEX	ncinane
n	I	I-LEX	ncinane
a	I	I-LEX	ncinane
n	I	I-LEX	ncinane
e	I	I-LEX	ncinane
*	O	O	O
k	B	B-SM.17	ku
u	I	I-SM.17	ku
v	B	B-LEX	vel
e	I	I-LEX	vel
l	I	I-LEX	vel
e	B	B-REC.CJ	e
*	O	O	O
i	B	B-AUG	i
m	B	B-9.LEX	moto
o	I	I-9.LEX	moto
t	I	I-9.LEX	moto
o	I	I-9.LEX	moto
*	O	O	O
e	B	B-RC.9	e
b	B	B-LEX	bomvu
o	I	I-LEX	bomvu
m	I	I-LEX	bomvu
v	I	I-LEX	bomvu
u	I	I-LEX	bomvu
*	O	O	O
e	B	B-SM.IPFV.9	e
b	B	B-LEX.REC.CJ	be
e	I	I-LEX.REC.CJ	be
*	O	O	O
i	B	B-SM.PRT.9	i
s	B	B-PRT	si
i	I	I-PRT	si
z	B	B-LEX	z
a	B	B-FV	a
*	O	O	O
n	B	B-LOC	nga
g	I	I-LOC	nga
a	I	I-LOC	nga
s	B	B-LOC.COP	se
e	I	I-LOC.COP	se
n	B	B-9.LEX	ntla
t	I	I-9.LEX	ntla
l	I	I-9.LEX	ntla
a	I	I-9.LEX	ntla
*	O	O	O
k	B	B-LEX	kunye
u	I	I-LEX	kunye
n	I	I-LEX	kunye
y	I	I-LEX	kunye
e	I	I-LEX	kunye
*	O	O	O
n	B	B-COM	na
a	I	I-COM	na
i	B	B-AUG	i
m	B	B-9.LEX	moto
o	I	I-9.LEX	moto
t	I	I-9.LEX	moto
o	I	I-9.LEX	moto
*	O	O	O
e	B	B-RC.9	e
l	B	B-LEX	luhlaza
u	I	I-LEX	luhlaza
h	I	I-LEX	luhlaza
l	I	I-LEX	luhlaza
a	I	I-LEX	luhlaza
z	I	I-LEX	luhlaza
a	I	I-LEX	luhlaza
*	O	O	O
e	B	B-SM.IPFV.9	e
b	B	B-LEX.REC.CJ	be
e	I	I-LEX.REC.CJ	be
*	O	O	O
i	B	B-SM.PRT.9	i
s	B	B-PRT	si
